date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
8/7/2015,5684487.227,2050,0,2.83,164329,27437.65625,37.31841351,1086,41.61171287,0.001320779,1.47E+12,1977,3282693,5189
8/8/2015,37899681.79,2881,167911008,2.79,674188,27943.4375,68.09997007,826,0.279,0.001243194,1.59E+12,1973,3508878,5256
8/9/2015,823605.5177,1329,42637600,0.706136,532170,27178.28125,14.0989497,732,7.06136,0.001223011,1.71E+12,1213,3167541,5123
8/10/2015,1194050.488,2037,43130000,0.713989,405283,27817.34375,31.16514444,1001,0.359784483,0.001228262,1.84E+12,1451,3316883,5255
8/11/2015,1053129.873,4963,42796500,0.708087,1463100,28027.8125,11.31144859,2342,0.034006303,0.001217965,2.04E+12,3029,3653834,5280
8/12/2015,797474.1891,2036,64018400,1.06,2150620,27370.9375,32.5869924,906,7.634961965,0.00124407,2.21E+12,1479,3348157,5124
8/13/2015,2182919.675,2842,73935400,1.22,4068680,28268.125,24.92916911,1274,9.94756377,0.001210096,2.34E+12,2486,3519008,5286
8/14/2015,4162001.561,3174,109594000,1.81,4637030,31106.71875,14.35483411,1594,18.75014337,0.001210111,2.67E+12,3015,3832496,5809
8/15/2015,13902410.53,2284,109160000,1.8,2554360,28512.65625,8.836593028,1313,18,0.001209761,3.38E+12,2170,3435520,5382
8/16/2015,2898479.711,2440,102028000,1.68,3550790,27094.53125,6.677237925,1202,12.00702942,0.001207801,3.63E+12,2340,3287835,5132
8/17/2015,5383055.468,2512,95819696,1.58,1942830,28118.90625,7.64281184,1249,11.69836028,0.001210228,3.91E+12,2410,3393782,5347
8/18/2015,2409105.869,2494,88143200,1.22,1485680,26162.8125,11.90607134,1294,7.82349247,0.001205693,4.38E+12,2324,3208720,4948
8/19/2015,1691424.304,3246,84663904,1.17,1486240,27282.03125,15.43095067,1350,6.212439645,0.001214039,4.42E+12,3147,3392043,5192
8/20/2015,592806.2045,2303,90809000,1.25,2843760,21057.03125,6.855566943,1167,6.248437063,0.001184488,4.47E+12,2184,2615975,4024
8/21/2015,894127.677,3919,107266000,1.48,2020970,26690.9375,7.855041725,1425,7.4,0.00105,4.42E+12,3809,3396674,5088
8/22/2015,874020.8587,3579,101404000,1.4,948310,27550.46875,42.54717183,1414,5.797294888,0.001151962,4.83E+12,3455,3415807,5271
8/23/2015,697311.4173,4190,99894496,1.38,1589300,26255.625,8.049767673,1570,5.135572132,0.00105,5.14E+12,4025,3411809,5013
8/24/2015,630283.1487,4432,97791600,1.35,924920,27333.28125,8.87628542,1436,4.035544781,0.00105,5.18E+12,4374,3486486,5184
8/25/2015,505362.4454,4487,89321904,1.23,1307180,26736.09375,8.259755825,1580,4.196650616,0.00105,5.17E+12,4296,3464583,5097
8/26/2015,508937.4578,4156,82384400,1.13,1056750,26137.96875,7.447729279,1527,3.158003814,0.00105,5.59E+12,4040,3345268,5003
8/27/2015,323871.8274,5590,85106096,1.17,686662,24532.8125,8.670963043,1591,2.860821014,0.00105,5.93E+12,5441,3332930,4708
8/28/2015,350703.3559,4758,83521696,1.15,721872,24225.15625,9.925148371,1531,3.007403698,0.00105,6.25E+12,4652,3214665,4653
8/29/2015,515079.8086,4139,86887600,1.19,375377,22525,5.507451526,1375,3.723080517,0.00105,6.66E+12,4046,2952536,4329
8/30/2015,490922.0537,4572,86145904,1.18,1337650,21453.59375,5.634173742,1624,2.537544986,0.00105,6.78E+12,4490,2862531,4155
8/31/2015,508670.8552,5196,96251000,1.32,1447180,21293.4375,7.424533814,1515,2.086180622,0.00105,7.21E+12,5106,3011745,4122
9/1/2015,3134878.163,5153,98617200,1.35,778862,20339.21875,7.843769856,1555,2.177560329,0.00105,7.64E+12,5000,2919171,3938
9/2/2015,374923.6465,5195,98504600,1.35,883769,18391.09375,8.153735331,1514,1.720022579,0.00105,8.28E+12,4883,2740989,3577
9/3/2015,724609.3119,4777,94418704,1.3,702991,17380.9375,6.970025674,1448,1.583589594,0.00105,8.35E+12,4527,2555486,3383
