date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
3/10/2016,896628156.1,321416956.1,188571,6346532590,414.74,81022896,3875,41.07926816,440705,1.58E+11,327181,59.92053199,0.00010036,104932958,155
3/11/2016,898652016.2,359930074.2,189656,6386442336,417.24,73969696,4000,39.76764706,424621,1.58E+11,314803,67.53854701,0.0001,98291340,160
3/12/2016,705781289.6,255452539,167869,6454911826,421.61,92712896,3600,34.40586731,376520,1.58E+11,266308,66.23836712,0.0001,82663093,144
3/13/2016,619961779.2,202916466.1,149670,6303643826,411.65,74322800,3325,35.80250793,426291,1.58E+11,329840,53.5145,0.0001,84849324,133
3/14/2016,866668882.8,317588222.6,191189,6344322706,414.2,95259400,3800,41.05698574,456138,1.58E+11,332528,68.39966256,0.0001,110385509,152
3/15/2016,1212820646,318368239.1,202265,6379563239,416.39,66781700,4025,42.88754793,448952,1.58E+11,321245,69.37190645,0.0001,106935867,161
3/16/2016,5463382218,352028545.4,211840,6388833726,416.89,65185800,3800,47.99646002,446561,1.58E+11,307996,106.4873008,0.000101,101669812,152
3/17/2016,3201345060,308736443.7,208178,6405621199,417.89,83528600,3525,46.32816082,477267,1.58E+11,345877,85.32801885,0.0001,105293428,141
3/18/2016,2054673743,312888459.1,205886,6447778030,420.55,104940000,3400,42.894972,437659,1.62E+11,318333,71.10748977,0.0001,100585430,136
3/19/2016,814831913.9,183816538.8,177342,6276329165,409.27,58423000,3400,34.35487023,423218,1.65E+11,330244,57.66940897,0.0001,87052395,136
3/20/2016,665740963,160812903.6,177997,6295008489,410.4,45947900,3650,33.74667059,437424,1.65E+11,361270,61.47792,0.0001,96462698,146
3/21/2016,715468686.2,248681332.8,198867,6342798633,413.42,61655400,3475,41.13390235,437620,1.65E+11,336467,61.09348777,0.0001,104844751,139
3/22/2016,788663875.9,250341069.6,205060,6339908801,413.13,66813300,3700,42.63768215,464583,1.65E+11,368109,53.84198525,0.0001,105679040,148
3/23/2016,709989048.8,267872172.6,186659,6418687722,418.16,61444200,3725,38.35156743,432360,1.65E+11,316412,53.24477278,0.0001,100544232,149
3/24/2016,823742620.4,287200749.4,189947,6424262723,418.42,68346704,3675,38.50255692,428038,1.65E+11,300116,62.721158,0.0001,99095640,147
3/25/2016,757896548.5,278316944.4,172163,6396318898,416.51,52560000,3650,32.7033762,400112,1.65E+11,292206,53.31328,0.0001,91106258,146
3/26/2016,544240342.6,211857242,158896,6410979829,417.36,44650400,3825,35.8323759,457009,1.65E+11,301235,43.47764328,0.0001,95670050,153
3/27/2016,653833359,271886728.7,160125,6424436761,418.14,71229400,3525,31.75097348,425281,1.65E+11,306475,49.07628479,0.0001,88753379,141
3/28/2016,730937820.4,273517929.4,195910,6555545101,426.55,68522800,4249.997528,46.15473942,516152,1.65E+11,325526,51.11502635,0.0001,114670594,170
3/29/2016,696580587,323331731.7,197252,6522552755,424.3,75411504,3925,57.79052183,668735,1.65E+11,346526,51.76072614,0.0001,131322550,157
3/30/2016,686395592.8,266963712.3,200881,6409262167,416.83,66034100,3675,45.75345212,480367,1.65E+11,307952,51.89258392,0.0001,110089356,147
3/31/2016,702407428.6,286221548.6,206352,6386455082,415.26,60215200,3100,45.74989907,419593,1.65E+11,297894,55.92054357,0.0001,104803821,124
4/1/2016,747129154.8,268245450.7,211769,6411133689,416.76,51235700,3825,53.2276954,505319,1.67E+11,356601,55.4232787,0.0001,117569335,153
4/2/2016,634937814,196824717.2,183364,6438159366,418.42,45681200,3475,49.66375403,477457,1.67E+11,316984,41.842,0.0001,111041430,139
4/3/2016,567271485,210366388.6,178287,6481983723,421.17,38053700,3550,43.58224685,466510,1.67E+11,344161,42.36696018,0.0001,103241514,142
4/4/2016,700639445.6,285198759.1,208763,6485743343,421.3,50634300,4150,45.08180774,487367,1.67E+11,367200,50.46282108,0.0001,111167934,166
4/5/2016,699882106.7,293173864.1,216021,6483002792,421.02,60718000,3875,47.92742177,460775,1.67E+11,335433,50.05873909,0.0001,114960265,155
4/6/2016,731657944.6,269881873.6,219133,6534891718,424.28,59091000,3925,58.44875393,479006,1.67E+11,369383,53.07450471,0.0001,110910583,157
4/7/2016,831336787,341238304.4,218324,6526250413,423.62,57858600,3475,44.73522886,446278,1.67E+11,339529,52.89730655,0.0001,105395795,139
4/8/2016,738129550,286328302.3,214047,6516742132,422.91,63454700,3600,43.53738918,440786,1.67E+11,343092,48.68722617,0.0001,103400020,144
4/9/2016,682919342.9,179292764.4,196279,6486117798,420.81,49792700,4050,36.54361898,423711,1.67E+11,328672,41.76680221,0.0001,102912904,162
4/10/2016,610602480.6,209494554.8,186781,6469163636,419.59,73478600,4325,33.25339902,435519,1.67E+11,354906,35.40607835,0.0001,95720814,173
4/11/2016,661167366.1,250253349.1,229887,6505914403,421.87,50747500,3825,50.11203705,477742,1.67E+11,368573,42.51480565,0.0001,117958509,153
4/12/2016,916085726.1,271685427.9,240058,6522402139,422.84,70728800,3700,50.75962758,511761,1.67E+11,393242,43.8387108,0.0001,123680686,148
4/13/2016,954950064.8,274034926.1,223342,6567245594,425.63,69060400,4100,45.74314812,495154,1.67E+11,354490,50.69185199,0.0001,115991452,164
4/14/2016,805598888.9,240818958.5,227764,6542712104,423.93,45281000,4099.998239,44.86496577,470246,1.74E+11,373927,48.04610655,0.0001,117140660,164
